十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址_里鄰,地址,聯絡電話,座標緯度,座標經度,備註
0143010011,衛生福利部屏東醫院,屏東縣,屏東市,900,,屏東縣屏東市自由路270號,08-7363011,22.673264,120.495546,null
0143040019,衛生福利部恆春旅遊醫院,屏東縣,恆春鎮,946,,屏東縣恆春鎮山腳里恆南路188號,08-8892704,21.9992068,120.7426569,null
0543010019,國軍高雄總醫院屏東分院附設民眾診療服務處,屏東縣,屏東市,900,,屏東縣屏東市龍華里大湖路58巷22號,08-7560756,22.633503,120.487574,null
0643130018,高雄榮民總醫院屏東分院,屏東縣,內埔鄉,912,,屏東縣內埔鄉龍潭村昭勝路安平一巷1號,08-7704115,22.674418,120.599009,null
0943010017,寶建醫院社團法人寶建醫院,屏東縣,屏東市,900,,屏東縣屏東市中山路123號,08-7665995,22.681802,120.484426,null
0943010026,安和醫療社團法人安和醫院,屏東縣,屏東市,900,,屏東縣屏東市自由路598號,08-7651828,22.68341,120.483684,null
0943010035,優生醫療社團法人優生醫院,屏東縣,屏東市,900,,屏東縣屏東市華山里瑞光路三段103號,08-7382222,22.686112,120.50391,null
0943020013,安泰醫療社團法人潮州安泰醫院,屏東縣,潮州鎮,920,,屏東縣潮州鎮三星里四維路162號,08-7800888,22.554031,120.546964,null
0943030019,安泰醫療社團法人安泰醫院,屏東縣,東港鎮,928,,屏東縣東港鎮興東里中正路一段210號,08-8329966,22.474326,120.459127,null
0943040015,南門醫療社團法人南門醫院,屏東縣,恆春鎮,946,,屏東縣恆春鎮城南里南門路10號,08-8894568,22.000858,120.745389,null
0943060017,屏安醫療社團法人屏安醫院,屏東縣,麟洛鄉,909,,屏東縣麟洛鄉麟蹄村中山路160–1號,08-7211777,22.641492,120.536293,null
0943160012,枋寮醫療社團法人枋寮醫院,屏東縣,枋寮鄉,940,,屏東縣枋寮鄉安樂村中山路139號,08-8789991,22.36414,120.596798,null
1143010012,財團法人屏東基督教醫院,屏東縣,屏東市,900,,屏東縣屏東市華山里大連路60號,08-7363026,22.6821339,120.5004333,null
1143040010,恆基醫療財團法人恆春基督教醫院,屏東縣,恆春鎮,946,,屏東縣恆春鎮山腳里恆西路21號,08-8892293,22.0023436,120.7388675,null
1343030018,輔英科技大學附設醫院,屏東縣,東港鎮,928,,屏東縣東港鎮興台里中山路5號,08-8323146,22.465199,120.452734,null
1543010056,復興醫院,屏東縣,屏東市,900,,屏東市民生路147-3號,08-7232323,22.6685213,120.4957531,null
1543010190,民眾醫院,屏東縣,屏東市,900,,屏東縣屏東市忠孝路120之1號,08-7325455,22.676408,120.487604,null
1543110024,聖恩內科醫院,屏東縣,高樹鄉,906,,屏東縣高樹鄉田子村勝利路132號,08-7961072,22.8049766,120.5788448,null
1543110033,大新醫院,屏東縣,高樹鄉,906,,屏東縣高樹鄉長榮村興中路208號,08-7962033,22.823792,120.599646,null
2343010017,屏東縣屏東市衛生所,屏東縣,屏東市,900,,屏東縣屏東市厚生里建國路92號,08-7538701,22.665065,120.482435,null
